Generation,Max,Average,Min
0,65,55,48
1,67,60,55
2,68,63,59
3,69,66,63
4,70,67,64
5,72,68,66
6,73,69,67
7,74,70,67
8,76,72,69
9,77,73,71
10,77,74,71
11,79,75,72
12,80,76,73
13,81,78,76
14,82,79,77
15,83,80,77
16,84,81,79
17,85,82,79
18,85,83,80
19,86,83,79
20,87,84,82
21,88,85,82
22,89,86,83
23,90,86,81
24,90,87,85
25,91,88,85
26,92,89,87
27,93,90,86
28,93,90,87
29,94,91,88
30,94,91,89
31,94,92,89
32,95,92,88
33,95,93,91
34,96,93,92
35,97,94,91
36,97,94,91
37,98,95,92
38,98,96,94
39,99,96,94
40,100,97,95
41,100,97,95
42,100,98,95
43,100,98,96
44,100,99,95
45,100,99,96
46,100,99,96
47,100,99,95
48,100,99,96
49,100,99,96
50,100,99,97
51,100,99,97
52,100,99,97
53,100,99,96
54,100,99,97
55,100,99,95
56,100,99,95
57,100,99,97
58,100,99,96
59,100,99,97
60,100,99,97
61,100,99,96
62,100,99,97
63,100,99,96
64,100,99,96
65,100,99,95
66,100,99,95
67,100,99,97
68,100,99,94
69,100,99,97
70,100,99,96
71,100,99,96
72,100,99,95
73,100,99,95
74,100,99,97
75,100,99,97
76,100,99,96
77,100,99,97
78,100,99,96
79,100,99,96
80,100,99,97
81,100,99,96
82,100,99,96
83,100,99,96
84,100,99,97
85,100,99,95
86,100,99,96
87,100,99,95
88,100,99,96
89,100,99,96
90,100,99,96
91,100,99,96
92,100,99,96
93,100,99,96
94,100,99,96
95,100,99,96
96,100,99,96
97,100,99,95
98,100,99,95
99,100,99,96
100,100,99,97
101,100,99,96
102,100,99,97
103,100,99,95
104,100,99,96
105,100,99,96
106,100,99,96
107,100,99,97
108,100,99,96
109,100,99,96
110,100,99,96
111,100,99,95
112,100,99,96
113,100,99,97
114,100,99,96
115,100,99,97
116,100,99,97
117,100,99,96
118,100,99,96
119,100,99,96
120,100,99,97
121,100,99,97
122,100,99,95
123,100,99,96
124,100,99,97
125,100,99,97
126,100,99,97
127,100,99,96
128,100,99,96
129,100,99,95
130,100,99,96
131,100,99,97
132,100,99,96
133,100,99,98
134,100,99,97
135,100,99,96
136,100,99,97
137,100,99,96
138,100,99,97
139,100,99,97
140,100,99,96
141,100,99,96
142,100,99,96
143,100,99,96
144,100,99,97
145,100,99,96
146,100,99,97
147,100,99,97
148,100,99,96
149,100,99,96
150,100,99,97
151,100,99,95
152,100,99,97
153,100,99,97
154,100,99,95
155,100,99,96
156,100,99,96
157,100,99,94
158,100,99,97
159,100,99,95
160,100,99,96
161,100,99,96
162,100,99,95
163,100,99,97
164,100,99,98
165,100,99,96
166,100,99,94
167,100,99,96
168,100,99,97
169,100,99,97
170,100,99,96
171,100,99,97
172,100,99,97
173,100,99,96
174,100,99,96
175,100,99,97
176,100,99,96
177,100,99,95
178,100,99,96
179,100,99,96
180,100,99,97
181,100,99,95
182,100,99,96
183,100,99,97
184,100,99,97
185,100,99,97
186,100,99,96
187,100,99,97
188,100,99,97
189,100,99,95
190,100,99,96
191,100,99,98
192,100,99,96
193,100,99,96
194,100,99,97
195,100,99,97
196,100,99,96
197,100,99,96
198,100,99,96
199,100,99,96
