Generation,Max,Average,Min
0,63,54,50
1,63,56,54
2,63,58,56
3,63,59,58
4,63,60,59
5,63,61,60
6,63,62,62
7,63,62,62
8,63,62,62
9,63,62,62
10,63,62,62
11,63,62,62
12,63,62,62
13,63,62,62
14,63,62,62
15,63,62,62
16,63,62,62
17,63,62,62
18,63,62,62
19,63,62,62
20,63,62,62
21,63,62,62
22,63,62,62
23,63,62,62
24,63,62,62
25,63,62,62
26,63,62,62
27,63,62,62
28,63,62,62
29,63,62,62
30,63,62,62
31,63,62,62
32,63,62,62
33,63,62,62
34,63,62,62
35,63,62,62
36,63,62,62
37,63,62,62
38,63,62,62
39,63,62,62
40,63,62,62
41,63,62,62
42,63,62,62
43,63,62,62
44,63,62,62
45,63,62,62
46,63,62,62
47,63,62,62
48,63,62,62
49,63,62,62
50,63,62,62
51,63,62,62
52,63,62,62
53,63,62,62
54,63,62,62
55,63,62,62
56,63,62,62
57,63,62,62
58,63,62,62
59,63,62,62
60,63,62,62
61,63,62,62
62,63,62,62
63,63,62,62
64,63,62,62
65,63,62,62
66,63,62,62
67,63,62,62
68,63,62,62
69,63,62,62
70,63,62,62
71,63,62,62
72,63,62,62
73,63,62,62
74,63,62,62
75,63,62,62
76,63,62,62
77,63,62,62
78,63,62,62
79,63,62,62
80,63,62,62
81,63,62,62
82,63,62,62
83,63,62,62
84,63,62,62
85,63,62,62
86,63,62,62
87,63,62,62
88,63,62,62
89,63,62,62
90,63,62,62
91,63,62,62
92,63,62,62
93,63,62,62
94,63,62,62
95,63,62,62
96,63,62,62
97,63,62,62
98,63,62,62
99,63,62,62
