Generation,Max,Average,Min
0,61,53,49
1,61,55,51
2,61,56,52
3,61,57,54
4,61,58,56
5,61,58,55
6,62,59,57
7,62,59,56
8,62,60,58
9,65,60,57
10,65,61,59
11,65,61,58
12,68,62,60
13,68,63,60
14,68,63,61
15,68,64,62
16,68,64,61
17,68,65,62
18,69,65,64
19,69,66,64
20,69,66,64
21,69,67,64
22,70,67,63
23,70,67,66
24,70,68,65
25,71,68,66
26,71,68,67
27,72,69,66
28,72,69,67
29,72,70,67
30,72,70,68
31,73,71,69
32,73,71,70
33,73,71,69
34,74,72,69
35,75,72,68
36,75,72,69
37,76,73,71
38,76,73,70
39,77,73,69
40,77,74,71
41,77,74,72
42,78,75,72
43,78,75,73
44,78,75,74
45,78,75,73
46,78,76,74
47,79,76,74
48,79,76,75
49,80,77,74
50,80,77,74
51,80,77,75
52,80,78,75
53,80,78,75
54,81,78,76
55,81,78,76
56,82,79,76
57,82,79,76
58,82,80,77
59,82,80,78
60,83,80,77
61,83,80,78
62,83,80,78
63,83,81,77
64,83,81,78
65,83,81,78
66,83,81,79
67,83,82,79
68,85,82,78
69,85,82,80
70,85,82,80
71,85,83,79
72,85,83,81
73,85,83,80
74,85,83,79
75,86,84,82
76,86,84,80
77,86,84,82
78,87,84,81
79,87,85,81
80,87,85,81
81,87,85,83
82,88,85,82
83,89,86,83
84,89,86,82
85,89,86,84
86,89,86,83
87,89,86,85
88,89,87,83
89,89,87,84
90,89,87,84
91,89,87,85
92,90,87,84
93,90,87,85
94,90,88,85
95,91,88,86
96,91,88,86
97,91,88,85
98,91,89,85
99,91,89,87
100,91,89,85
101,91,89,87
102,92,89,87
103,92,90,88
104,92,90,87
105,92,90,87
106,92,90,88
107,92,90,88
108,92,90,88
109,93,90,88
110,93,91,88
111,93,91,89
112,93,91,88
113,93,91,89
114,93,91,87
115,93,91,90
116,93,91,89
117,93,91,89
118,93,92,87
119,93,92,90
120,93,92,89
121,94,92,90
122,94,92,90
123,94,92,88
124,94,92,90
125,94,92,91
126,94,92,88
127,94,92,89
128,94,92,89
129,94,92,90
130,96,93,90
131,96,93,90
132,96,93,90
133,96,93,91
134,96,93,90
135,96,93,91
136,96,94,91
137,96,94,91
138,96,94,90
139,96,94,92
140,96,94,92
141,96,94,92
142,96,94,92
143,96,94,91
144,96,94,91
145,96,95,93
146,96,95,92
147,96,95,92
148,97,95,93
149,97,95,93
150,97,95,92
151,97,95,90
152,97,95,93
153,97,95,92
154,97,95,94
155,98,95,92
156,98,95,91
157,98,95,92
158,98,95,92
159,98,95,92
160,98,95,93
161,98,96,93
162,98,96,94
163,98,96,93
164,98,96,91
165,98,96,93
166,98,96,93
167,98,96,93
168,98,96,92
169,98,96,94
170,98,96,94
171,98,97,94
172,98,97,95
173,98,97,93
174,98,97,95
175,99,97,95
176,99,97,95
177,99,97,95
178,99,97,93
179,99,97,94
180,99,97,95
181,99,97,94
182,99,97,95
183,99,97,95
184,99,97,95
185,99,97,94
186,99,97,93
187,99,97,96
188,100,97,95
189,100,98,95
190,100,98,95
191,100,98,95
192,100,98,95
193,100,98,94
194,100,98,95
195,100,98,97
196,100,98,95
197,100,98,94
198,100,98,95
199,100,98,96
