Generation,Max,Average,Min
0,59,53,48
1,59,55,52
2,60,56,52
3,59,57,55
4,61,58,56
5,61,59,57
6,61,59,57
7,63,60,58
8,63,60,58
9,63,61,58
10,63,61,58
11,66,62,60
12,65,62,60
13,65,62,59
14,65,63,60
15,66,63,61
16,67,64,62
17,67,64,61
18,67,65,62
19,68,65,64
20,68,66,64
21,69,66,64
22,70,67,65
23,70,67,64
24,72,68,66
25,70,68,65
26,71,68,66
27,71,69,67
28,72,69,68
29,73,69,68
30,72,69,67
31,72,70,67
32,73,70,68
33,73,70,68
34,73,71,69
35,74,71,68
36,75,72,69
37,75,72,69
38,75,73,70
39,76,73,70
40,75,73,70
41,76,73,72
42,76,74,71
43,76,74,71
44,78,74,72
45,77,75,73
46,77,75,72
47,78,75,71
48,79,76,73
49,78,76,73
50,79,76,74
51,80,76,75
52,79,77,74
53,79,77,75
54,79,77,74
55,80,78,76
56,81,78,75
57,81,78,75
58,81,79,76
59,81,79,76
60,81,79,77
61,81,79,77
62,81,79,77
63,81,79,78
64,82,79,77
65,82,80,78
66,82,80,78
67,82,80,77
68,82,80,78
69,83,80,75
70,83,80,79
71,83,81,76
72,84,81,77
73,84,82,80
74,84,82,78
75,85,82,80
76,86,82,80
77,85,83,79
78,85,83,80
79,85,83,80
80,85,83,82
81,86,84,81
82,86,84,80
83,86,84,82
84,86,84,81
85,87,84,82
86,87,85,81
87,87,85,81
88,87,85,83
89,87,85,83
90,88,85,81
91,88,86,83
92,88,86,83
93,88,86,83
94,89,86,84
95,90,87,84
96,89,87,84
97,89,87,84
98,90,87,85
99,89,87,83
100,89,87,85
101,90,87,84
102,89,87,85
103,89,88,84
104,90,88,85
105,90,88,83
106,90,88,85
107,90,88,86
108,90,88,86
109,92,88,86
110,91,88,85
111,90,89,86
112,91,89,85
113,91,89,86
114,91,89,87
115,91,89,86
116,91,89,86
117,91,89,86
118,92,90,87
119,92,90,87
120,92,90,87
121,92,90,87
122,92,90,88
123,92,91,88
124,92,91,88
125,93,91,89
126,92,91,89
127,94,91,89
128,93,91,89
129,93,91,89
130,93,91,87
131,93,91,88
132,93,91,87
133,94,92,89
134,94,92,89
135,94,92,89
136,94,92,90
137,95,92,89
138,95,92,90
139,95,93,90
140,95,93,90
141,95,93,91
142,95,93,90
143,95,93,92
144,95,93,91
145,95,93,89
146,95,93,90
147,95,93,90
148,95,94,92
149,96,94,90
150,95,94,91
151,96,94,92
152,96,94,92
153,96,94,90
154,96,94,92
155,96,94,92
156,96,94,90
157,96,94,90
158,96,94,91
159,96,94,92
160,96,94,92
161,97,94,91
162,96,95,93
163,96,95,91
164,96,95,91
165,97,95,92
166,97,95,93
167,97,95,93
168,97,95,92
169,98,95,90
170,97,95,93
171,97,95,93
172,98,95,93
173,97,95,93
174,97,96,93
175,97,96,93
176,97,96,92
177,97,96,93
178,97,96,93
179,97,96,91
180,98,96,93
181,98,96,93
182,97,96,93
183,98,96,94
184,98,96,92
185,98,96,94
186,98,96,94
187,98,96,94
188,98,96,94
189,98,96,93
190,98,96,94
191,99,97,94
192,98,97,93
193,98,97,94
194,98,97,95
195,98,97,95
196,99,97,94
197,99,97,92
198,98,97,95
199,98,97,93
