Generation,Max,Average,Min
0,66,55,48
1,66,60,54
2,66,63,60
3,66,65,64
4,66,66,66
5,66,66,66
6,66,66,66
7,66,66,66
8,66,66,66
9,66,66,66
10,66,66,66
11,66,66,66
12,66,66,66
13,66,66,66
14,66,66,66
15,66,66,66
16,66,66,66
17,66,66,66
18,66,66,66
19,66,66,66
20,66,66,66
21,66,66,66
22,66,66,66
23,66,66,66
24,66,66,66
25,66,66,66
26,66,66,66
27,66,66,66
28,66,66,66
29,66,66,66
30,66,66,66
31,66,66,66
32,66,66,66
33,66,66,66
34,66,66,66
35,66,66,66
36,66,66,66
37,66,66,66
38,66,66,66
39,66,66,66
40,66,66,66
41,66,66,66
42,66,66,66
43,66,66,66
44,66,66,66
45,66,66,66
46,66,66,66
47,66,66,66
48,66,66,66
49,66,66,66
50,66,66,66
51,66,66,66
52,66,66,66
53,66,66,66
54,66,66,66
55,66,66,66
56,66,66,66
57,66,66,66
58,66,66,66
59,66,66,66
60,66,66,66
61,66,66,66
62,66,66,66
63,66,66,66
64,66,66,66
65,66,66,66
66,66,66,66
67,66,66,66
68,66,66,66
69,66,66,66
70,66,66,66
71,66,66,66
72,66,66,66
73,66,66,66
74,66,66,66
75,66,66,66
76,66,66,66
77,66,66,66
78,66,66,66
79,66,66,66
80,66,66,66
81,66,66,66
82,66,66,66
83,66,66,66
84,66,66,66
85,66,66,66
86,66,66,66
87,66,66,66
88,66,66,66
89,66,66,66
90,66,66,66
91,66,66,66
92,66,66,66
93,66,66,66
94,66,66,66
95,66,66,66
96,66,66,66
97,66,66,66
98,66,66,66
99,66,66,66
100,66,66,66
101,66,66,66
102,66,66,66
103,66,66,66
104,66,66,66
105,66,66,66
106,66,66,66
107,66,66,66
108,66,66,66
109,66,66,66
110,66,66,66
111,66,66,66
112,66,66,66
113,66,66,66
114,66,66,66
115,66,66,66
116,66,66,66
117,66,66,66
118,66,66,66
119,66,66,66
120,66,66,66
121,66,66,66
122,66,66,66
123,66,66,66
124,66,66,66
125,66,66,66
126,66,66,66
127,66,66,66
128,66,66,66
129,66,66,66
130,66,66,66
131,66,66,66
132,66,66,66
133,66,66,66
134,66,66,66
135,66,66,66
136,66,66,66
137,66,66,66
138,66,66,66
139,66,66,66
140,66,66,66
141,66,66,66
142,66,66,66
143,66,66,66
144,66,66,66
145,66,66,66
146,66,66,66
147,66,66,66
148,66,66,66
149,66,66,66
150,66,66,66
151,66,66,66
152,66,66,66
153,66,66,66
154,66,66,66
155,66,66,66
156,66,66,66
157,66,66,66
158,66,66,66
159,66,66,66
160,66,66,66
161,66,66,66
162,66,66,66
163,66,66,66
164,66,66,66
165,66,66,66
166,66,66,66
167,66,66,66
168,66,66,66
169,66,66,66
170,66,66,66
171,66,66,66
172,66,66,66
173,66,66,66
174,66,66,66
175,66,66,66
176,66,66,66
177,66,66,66
178,66,66,66
179,66,66,66
180,66,66,66
181,66,66,66
182,66,66,66
183,66,66,66
184,66,66,66
185,66,66,66
186,66,66,66
187,66,66,66
188,66,66,66
189,66,66,66
190,66,66,66
191,66,66,66
192,66,66,66
193,66,66,66
194,66,66,66
195,66,66,66
196,66,66,66
197,66,66,66
198,66,66,66
199,66,66,66
